date,baseline_equity,equal_weight_equity,risk_parity_equity,optimize_sharpe_equity
2019-04-15,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-16,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-17,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-18,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-19,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-22,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-23,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-24,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-25,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-26,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-29,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-04-30,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-02,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-03,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-06,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-07,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-08,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-09,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-13,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-14,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-15,1.113846554107565,1.0629266725998743,1.1132319928983634,1.1546440570137684
2019-05-16,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-17,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-20,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-21,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-22,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-23,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-24,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-27,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-28,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-29,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-30,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-05-31,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-03,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-05,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-06,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-11,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-12,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-13,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-14,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-17,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-18,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-19,1.1031272415116207,1.0556200472405042,1.1025553262993817,1.141012887524781
2019-06-20,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-06-21,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-06-24,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-06-25,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-06-26,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-06-27,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-06-28,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-07-01,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-07-02,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-07-03,1.1732517961501165,1.1035518871527805,1.1724032225375254,1.2299900351177826
2019-07-05,1.1500829770305316,1.067231189773614,1.1490659441514008,1.2185497941714845
2019-07-08,1.1500829770305316,1.067231189773614,1.1490659441514008,1.2185497941714845
2019-07-10,1.1500829770305316,1.067231189773614,1.1490659441514008,1.2185497941714845
2019-07-11,1.1500829770305316,1.067231189773614,1.1490659441514008,1.2185497941714845
2019-07-15,1.1500829770305316,1.067231189773614,1.1490659441514008,1.2185497941714845
2019-07-16,1.1500829770305316,1.067231189773614,1.1490659441514008,1.2185497941714845
